Location,Variety,Experiment,Plot #,Rep,Plants/acre,Stems/Acre,%Inital Stand,Tons DM/acre,Avg height (in),Avg height (cm),diam_bottom,diam_top
Whirling Thunder,Futura75,1,218-11,2,,370260,,4.22,66.4,168.66,5.998,2.836
Whirling Thunder,Bialob,1,301-10,3,,333960,,3.98,58.2,147.83,7.05,3.901
Whirling Thunder,Futura75,1,302-5,3,,402930,,6.24,62.6,159,6.659,2.91
Whirling Thunder,Fibror79,1,304-12,3,,395670,,4.65,60.2,152.91,6.46,2.586666667
Whirling Thunder,Santhica70,1,305-2,3,,355740,,4.72,70.4,178.82,6.938,3.031
Whirling Thunder,Muka,1,306-3,3,,424710,,4.06,70.2,178.31,5.858,2.192
Whirling Thunder,Futura83,1,307-1,3,,468270,,5.17,73.6,186.94,6.783,2.917
Whirling Thunder,Enectarol,1,308-4,3,,381150,,3.93,69.8,177.29,5.776,2.239
Whirling Thunder,Orion33,1,312-11,3,,399300,,3.91,57,144.78,6.635,2.346
Whirling Thunder,Tibor,1,314-8,3,,163350,,2.47,58.4,148.34,6.458,2.933
Whirling Thunder,Carmenecta,1,316-6,3,,188760,,3.02,72.4,183.9,6.838,2.918
Whirling Thunder,Ferimon,1,317-7,3,,526350,,3.54,53.2,135.13,5.373,3.214
Whirling Thunder,USO31,1,318-9,3,,116160,,2.36,68.6,174.24,6.889,4.306
Whirling Thunder,USO31,1,404-9,4,,148830,,1.25,33.6,85.34,4.101,1.959
Whirling Thunder,Santhica70,1,405-11,4,,199650,,2.44,62.6,159,5.241111111,3.447777778
Whirling Thunder,Orion33,1,406-7,4,,392040,,3.1,45,114.3,3.997,1.958
Whirling Thunder,Tibor,1,407-12,4,,177870,,2.42,59.2,150.37,6.421,3.215
Whirling Thunder,Ferimon,1,411-8,4,,381150,,3.23,49.4,125.48,4.697777778,2.672
Whirling Thunder,Futura75,1,412-2,4,,359370,,4.51,56.8,144.27,6.988,3.798
Whirling Thunder,Futura83,1,413-10,4,,631620,,4.2,50.4,128.02,3.81,2.272
